Make,Model,Year,KM's driven,Price,Fuel,Registration city,Car documents,Assembly,Transmission,Condition,Seller Location
Toyota,Corolla GLI,2009,160000,2360000,Petrol,Faisalabad,Original,Imported,Manual,Used,"Sitara Valley, Faisalabad"
Suzuki,Cultus VXR,2006,77000,1200000,Petrol,Islamabad,Original,Local,Manual,Used,"Bahria Town Phase 8, Rawalpindi"
Chevrolet,Joy,2006,100000,700000,Petrol,Punjab,Original,Imported,Manual,Used,"Others, Narowal"
Suzuki,Alto,2009,100000,950000,Petrol,Punjab,Original,Local,Manual,Used,"Jail Road, Lahore"
Toyota,Corolla GLI,2018,90000,4580000,Petrol,Islamabad,Original,Local,Manual,Used,"Rawalpindi Road, Chakwal"
Suzuki,Alto,2006,175000,775000,Petrol,Lahore,Original,Local,Manual,Used,"Awan Town, Lahore"
Changan,Alsvin,2021,60000,3275000,Petrol,Islamabad,Original,Local,Automatic,Used,"Ravi Road, Lahore"
Suzuki,Mehran VXR,2008,3500,780000,Petrol,Lahore,Original,Imported,Manual,Used,"Kallar Syedan, Rawalpindi"
Suzuki,Bolan,2017,38000,1300000,CNG,Mardan,Original,Local,Manual,Used,"Baghdada Road, Mardan"
Toyota,Corolla XLI,2015,191000,2900000,Petrol,Punjab,Original,Local,Manual,Used,"New Chakwal City, Chakwal"
Honda,Civic Oriel,2007,133980,1750000,Petrol,Gujrat,Original,Local,Manual,Used,"Toheed Town, Sialkot"
Daihatsu,Hijet,2012,158000,1470000,Petrol,Lahore,Original,Imported,Automatic,Used,"GT Road, Gujrat"
Daihatsu,Mira,2013,1655,510000,Petrol,Lahore,Original,Imported,Automatic,Used,"Yaqoob Abad, Burewala"
Suzuki,Wagon R,2014,140000,1550000,Petrol,Karachi,Original,Local,Manual,Used,"Falcon Complex New Malir, Karachi"
Suzuki,Wagon R,2017,69000,1890000,Petrol,Lahore,Original,Local,Manual,Used,"Burhan Town, Jauharabad"
Hyundai,Santro,2007,150000,1015000,Petrol,Lahore,Original,Local,Manual,Used,"Ferozpur Road, Kasur"
Honda,City IVTEC,2015,39737,3150000,Petrol,Karachi,Original,Local,Manual,Used,"ASF Airport Residencia, Karachi"
Toyota,Corrolla Altis,2019,98000,4250000,Petrol,Karachi,Original,Local,Automatic,Used,"Tipu Sultan Road, Karachi"
Daihatsu,Move,2018,138700,2900000,Petrol,Lahore,Original,Imported,Automatic,Used,"Bahria Enclave, Islamabad"
Suzuki,Bolan,2017,23500,1175000,Petrol,Lahore,Original,Local,Manual,Used,"Nishat Colony, Lahore"
Daihatsu,Mira,2014,179000,2200000,Petrol,Karachi,Original,Imported,Automatic,Used,"North Nazimabad, Karachi"
Daihatsu,Cuore,2009,23000,1080000,Petrol,Lahore,Original,Local,Manual,Used,"Chak Beli Khan, Rawalpindi"
Suzuki,Alto,2019,69000,1995000,Petrol,Karachi,Original,Local,Manual,Used,"Scheme 33 - Sector 15-A, Karachi"
Suzuki,Mehran VXR,2008,12345,690000,Petrol,Islamabad,Duplicate,Imported,Manual,Used,"Babar Colony, Rawalpindi"
Hyundai,Santro,2004,270000,850000,Petrol,Lahore,Original,Imported,Manual,Used,"Shadbagh, Lahore"
Toyota,Corolla GLI,2012,140000,2550000,Petrol,Lahore,Original,Local,Manual,Used,"Sikandar Town, Peshawar"
Suzuki,Mehran VXR,2018,73000,1090000,Petrol,Lahore,Original,Local,Manual,Used,"Model Town, Lahore"
Toyota,Corolla GLI,2017,55000,4050000,Petrol,Karachi,Original,Local,Automatic,Used,"DHA Phase 6, Karachi"
Daihatsu,Cuore,2004,123456,520000,Petrol,Karachi,Original,Local,Manual,Used,"Jafar-E-Tayyar, Karachi"
Suzuki,Bolan,2006,44444,485000,Petrol,Karachi,Original,Local,Manual,Used,"Gulshan-e-Iqbal, Karachi"
Suzuki,Cultus VXR,2013,45000,1400000,Petrol,Sialkot,Original,Local,Manual,Used,"Phalia Mandi Bahauddin Road, Mandi Bahauddin"
Toyota,Altis Grande,2016,116000,4350000,Petrol,Lahore,Original,Local,Automatic,Used,"Cantt, Multan"
Suzuki,Alto,2022,26000,2425000,Petrol,Karachi,Original,Local,Manual,Used,"University Road, Karachi"
Hyundai,Santro,2003,73137,950000,Petrol,Faisalabad,Original,Local,Manual,Used,"Model City, Gojra"
Suzuki,Cultus VXR,2007,125000,750000,Petrol,Lahore,Original,Local,Manual,Used,"Peoples Colony, Gujranwala"
Toyota,Corolla GLI,2002,200000,1750000,Petrol,Karachi,Original,Local,Manual,Used,"Fateh Garh, Lahore"
Honda,City IVTEC,2018,62000,3750000,Petrol,Lahore,Original,Local,Automatic,Used,"Johar Town, Lahore"
Daihatsu,Move,2013,120671,2100000,Petrol,Lahore,Original,Imported,Automatic,Used,"Jhang Road, Muzaffargarh"
KIA,Spectra,2003,150000,600000,Petrol,Islamabad,Original,Imported,Manual,Used,"Bahria Town Phase 2, Rawalpindi"
Hyundai,Santro,2004,50000,1050000,Petrol,Lahore,Original,Local,Manual,Used,"Cantt, Multan"
Toyota,Corrolla Altis,2019,76000,5000000,Petrol,Lahore,Original,Local,Automatic,Used,"Al-Hafeez Garden Road, Lahore"
Chevrolet,Exclusive,2005,80000,460000,Petrol,Sindh,Original,Imported,Manual,Used,"Federal B Area - Block 17, Karachi"
Daihatsu,Move,2013,81000,2225000,Petrol,Lahore,Original,Imported,Automatic,Used,"Johar Town, Lahore"
FAW,X-PV,2016,128000,800000,Petrol,Lahore,Original,Local,Manual,Used,"Ibrahim Town, Multan"
Honda,City IVTEC,2016,76300,2990000,Petrol,Lahore,Original,Local,Manual,Used,"Gulistan Colony No 2, Faisalabad"
Honda,City IVTEC,2021,28450,4500000,Petrol,Punjab,Original,Local,Automatic,Used,"Formanites Housing Scheme, Lahore"
Toyota,Corrolla Altis,2009,129000,2225000,Petrol,Karachi,Original,Local,Automatic,Used,"Gulshan-e-Iqbal, Karachi"
Suzuki,Swift,2018,85900,2050000,Petrol,Karachi,Original,Local,Manual,Used,"Korangi, Karachi"
Suzuki,Bolan,2016,50000,1100000,Petrol,Lahore,Original,Local,Manual,Used,"Chungi Amar Sadhu, Lahore"
Daihatsu,Mira,2014,105000,2120000,Petrol,Karachi,Original,Imported,Automatic,Used,"Gulshan-e-Iqbal, Karachi"
Toyota,Corolla XLI,2015,200000,3050000,Petrol,Lahore,Original,Local,Manual,Used,"Afghan Colony, Peshawar"
Suzuki,Bolan,2015,11111,925000,Petrol,Karachi,Original,Local,Manual,Used,"Airport, Karachi"
Suzuki,Cultus VXR,2008,250000,850000,Petrol,Lahore,Original,Local,Manual,Used,"Zubaida Park, Lahore"
Toyota,Corrolla Altis,2020,36800,4800000,Petrol,Karachi,Original,Local,Automatic,Used,"Gulistan-e-Jauhar Block 3, Karachi"
Honda,City IVTEC,2015,72000,2875000,Petrol,Lahore,Original,Imported,Manual,Used,"F-8, Islamabad"
Suzuki,Swift,2014,119000,1790000,Petrol,Rawalpindi,Original,Local,Manual,Used,"Gulberg 5, Lahore"
Honda,City IVTEC,2017,98100,3250000,Petrol,Islamabad,Original,Local,Manual,Used,"Green Avenue, Islamabad"
Honda,City Aspire,2019,49000,3600000,Petrol,Karachi,Original,Local,Automatic,Used,"Super Highway, Karachi"
Honda,City IVTEC,2011,123000,2500000,Petrol,Lahore,Original,Local,Manual,Used,"New Multan, Multan"
Honda,Civic Prosmetic,2017,63500,4550000,Petrol,Islamabad,Original,Imported,Automatic,Used,"Shujabad Road, Multan"
Mitsubishi,Pajero Mini,2000,150000,1190000,Petrol,Karachi,Original,Imported,Automatic,Used,"Gari Sohbat Khan, Peshawar"
Toyota,Surf,1993,123456,2650000,Diesel,Lahore,Original,Imported,Automatic,Used,"DHA Phase 5, Lahore"
Toyota,Passo,2015,92000,3000000,Petrol,Islamabad,Original,Imported,Automatic,Used,"G-10, Islamabad"
Suzuki,Every,2007,100000,950000,Petrol,Sindh,Original,Imported,Manual,Used,"Nowshera - Mardan Road, Nowshera"
Toyota,Yaris,2021,90000,4450000,Petrol,Lahore,Original,Local,Automatic,Used,"Dharampura, Lahore"
Suzuki,Wagon R,2018,50000,2070000,Petrol,Sindh,Original,Local,Manual,Used,"Baldia Town, Karachi"
Suzuki,Bolan,2017,129000,1195000,Petrol,Lahore,Original,Local,Manual,Used,"Others, Nankana Sahib"
Daihatsu,Move,2015,200000,2225000,Petrol,Gujranwala,Original,Imported,Automatic,Used,"Sui Gas Road, Gujranwala"
Honda,City Aspire,2017,102000,3700000,Petrol,Islamabad,Original,Local,Automatic,Used,"Naval Anchorage, Islamabad"
Suzuki,Every,2016,1000,1675000,Petrol,Lahore,Original,Imported,Manual,Used,"Sialkot, Punjab"
Mercedes,E Class,2000,150000,2200000,Petrol,Islamabad,Original,Imported,Automatic,Used,"Bahria Town Phase 8, Rawalpindi"
Suzuki,Every,2010,200000,2500000,Petrol,Islamabad,Original,Imported,Automatic,Used,"Tajpura, Lahore"
Suzuki,Alto,2010,69000,900000,Petrol,Multan,Original,Imported,Manual,Used,"DG Khan Road, Muzaffargarh"
Toyota,Yaris,2020,21000,4750000,Petrol,Islamabad,Original,Imported,Automatic,Used,"E-11/1, Islamabad"
Suzuki,Swift,2010,10000,1580000,Petrol,Islamabad,Original,Imported,Manual,Used,"Kharota Syedan, Sialkot"
Suzuki,Wagon R,2022,24000,3200000,Petrol,Punjab,Original,Local,Automatic,Used,"Citi Housing Society, Gujranwala"
Honda,Civic Prosmetic,2001,220000,1175000,Petrol,Faisalabad,Original,Local,Automatic,Used,"Johar Town Phase 2, Lahore"
Suzuki,Cultus VXR,2005,111111,790000,Petrol,Lahore,Original,Local,Manual,Used,"Westridge, Rawalpindi"
Honda,Civic Prosmetic,2009,150000,1950000,Petrol,Lahore,Original,Local,Automatic,Used,"Cantt, Sialkot"
Suzuki,Bolan,2006,100000,740000,Petrol,Lahore,Original,Local,Manual,Used,"Bahria Town Phase 8, Rawalpindi"
Honda,Civic Prosmetic,2007,123456,1880000,Petrol,Lahore,Original,Local,Automatic,Used,"Pindora, Rawalpindi"
Suzuki,Cultus VXR,2003,170000,685000,Petrol,Lahore,Original,Local,Manual,Used,"Abdullahpur, Faisalabad"
Daihatsu,Cuore,2004,100000,700000,Petrol,Karachi,Original,Local,Manual,Used,"Commercial Market, Rawalpindi"
Toyota,Passo,2018,61000,3680000,Petrol,Punjab,Original,Imported,Automatic,Used,"Hayatabad, Peshawar"
Suzuki,Wagon R,2017,56000,2050000,Petrol,Karachi,Original,Imported,Automatic,Used,"Buffer Zone 2, Karachi"
Daihatsu,Mira,2019,5000,3550000,Petrol,Karachi,Original,Imported,Automatic,Used,"Tariq Road, Karachi"
Suzuki,Bolan,2014,62000,1395000,Petrol,Lahore,Original,Local,Manual,Used,"GT Road, Jhelum"
Toyota,Corolla XLI,2011,98765,2250000,Petrol,Lahore,Original,Imported,Manual,Used,"Holy Family Road, Rawalpindi"
Suzuki,Cultus VXR,2007,99000,700000,Petrol,Sindh,Original,Local,Manual,Used,"Fort Colony, Multan"
Suzuki,Bolan,2015,123456,725000,Petrol,Lahore,Original,Local,Manual,Used,"Green Town, Lahore"
Honda,City Aspire,2020,54000,4225000,Petrol,Punjab,Original,Local,Automatic,Used,"DHA Phase 5, Lahore"
Suzuki,Swift,2017,85098,2200000,Petrol,Lahore,Original,Local,Automatic,Used,"Farooqabad, Sheikhüpura"
Honda,City IDSI,2007,228000,1690000,Petrol,Karachi,Original,Local,Manual,Used,"Allahabad Road, Liaquatpur"
Daihatsu,Hijet,2012,91000,1385000,Petrol,Karachi,Original,Imported,Automatic,Used,"Airport, Karachi"
Suzuki,Swift,2020,75000,2450000,Petrol,Islamabad,Original,Local,Manual,Used,"Ghalla Dher, Mardan"
Honda,City Aspire,2010,80000,1990000,Petrol,Lahore,Original,Local,Manual,Used,"Aimanabad Road, Sialkot"
Daihatsu,Hijet,2013,78000,1510000,Petrol,Karachi,Original,Imported,Automatic,Used,"Guru Mandir Chorangi, Karachi"
Hyundai,Santro,2007,173000,880000,Petrol,Lahore,Original,Local,Manual,Used,"New Ghalla Mandi, Khanpur"
Honda,Civic Oriel,2015,76000,3150000,Petrol,Lahore,Original,Local,Automatic,Used,"Cantt, Quetta"
Daihatsu,Cuore,2007,400000,700000,Petrol,Karachi,Original,Imported,Manual,Used,"HBCHS - Haroon Bahria Society, Karachi"
Suzuki,Alto,2009,1234,780000,Petrol,Karachi,Original,Local,Manual,Used,"Federal B Area, Karachi"
Suzuki,Alto,2007,80000,1620000,Petrol,Islamabad,Original,Imported,Automatic,Used,"B-17, Islamabad"
Mitsubishi,Lancer,2005,70000,1370000,Petrol,Lahore,Original,Imported,Manual,Used,"Wah Cantt, Wah"
Toyota,Yaris,2020,6000,4650000,Petrol,Karachi,Original,Imported,Automatic,Used,"Khalid Bin Walid Road, Karachi"
Toyota,Corolla GLI,2011,120000,2190000,Petrol,Lahore,Original,Local,Manual,Used,"Dinpura, Sialkot"
Toyota,Yaris,2020,21500,4375000,Petrol,Punjab,Original,Local,Automatic,Used,"Satellite Town, Hasilpur"
Suzuki,Alto,2007,12345,750000,Petrol,Karachi,Original,Imported,Manual,Used,"Qayyumabad, Karachi"
Suzuki,Wagon R,2016,103000,1950000,Petrol,Karachi,Original,Local,Manual,Used,"DG Khan Road, Muzaffargarh"
Daihatsu,Cuore,2007,178000,1000000,Petrol,Karachi,Original,Local,Automatic,Used,"North Karachi Buffer Zone, Karachi"
Toyota,Corolla XLI,2018,85000,4050000,Petrol,Sindh,Original,Local,Manual,Used,"Chak 65 JB Janubi Narwala, Faisalabad"
Honda,City Aspire,2015,131000,3025000,Petrol,Lahore,Original,Imported,Automatic,Used,"Allama Iqbal Town, Lahore"
Suzuki,Bolan,2002,10000,650000,Petrol,Lahore,Original,Local,Manual,Used,"Maulana Shaukat Ali Road, Lahore"
Changan,Karvaan,2020,14000,1885000,Petrol,Karachi,Original,Imported,Manual,Used,"Buffer Zone 1, Karachi"
Toyota,Corrolla Altis,2017,35000,4800000,Petrol,Islamabad,Original,Local,Automatic,Used,"Faisalabad, Punjab"
Hyundai,Santro,2003,100000,690000,Petrol,Karachi,Original,Local,Manual,Used,"Liaquat Colony, Hyderabad"
Suzuki,Mehran VXR,2008,80000,725000,Petrol,Lahore,Original,Local,Manual,Used,"Jaranwala, Faisalabad"
Toyota,Corolla GLI,2016,74000,3700000,Petrol,Lahore,Original,Local,Automatic,Used,"Jaranwala, Faisalabad"
Changan,Karvaan,2021,59000,2250000,Petrol,Karachi,Original,Local,Manual,Used,"Shah Faisal Town, Karachi"
Daihatsu,Move,2013,145000,1990000,Petrol,Lahore,Original,Imported,Automatic,Used,"Jalalpur, Jalal Pur Jatta"
Toyota,Corolla XLI,2016,163000,3050000,Petrol,Lahore,Original,Imported,Manual,Used,"Qasba Muhalla, Lala Musa"
Daihatsu,Mira,2011,154000,2100000,Petrol,Karachi,Original,Imported,Automatic,Used,"Sukkur, Sindh"
Daihatsu,Move,2019,19000,3300000,Petrol,Punjab,Original,Imported,Automatic,Used,"Johar Town, Lahore"
Suzuki,Every,2011,89000,1650000,Petrol,Karachi,Original,Imported,Automatic,Used,"Federal B Area, Karachi"
Suzuki,Wagon R,2018,82000,2360000,Petrol,Islamabad,Original,Local,Manual,Used,"GT Road, Taxila"
Suzuki,Bolan,2015,60500,950000,Petrol,Rawalpindi,Original,Local,Manual,Used,"Koral Town, Islamabad"
Suzuki,Baleno,2004,250000,900000,Petrol,Islamabad,Original,Local,Manual,Used,"H-13, Islamabad"
Suzuki,Mehran VXR,2008,135000,770000,Petrol,Lahore,Original,Local,Manual,Used,"Tarlai, Islamabad"
Daihatsu,Move,2012,90000,1935000,Petrol,Lahore,Original,Imported,Automatic,Used,"Shahdara, Lahore"
Honda,City IVTEC,2016,26000,3400000,Petrol,Sialkot,Original,Imported,Manual,Used,"Kashmir Road, Sialkot"
Daihatsu,Mira,2020,40000,3540000,Petrol,Unregistered,Original,Imported,Automatic,Used,"Gulshan-e-Iqbal, Karachi"
Suzuki,Mehran VXR,2017,45000,1350000,Petrol,Bahawalpur,Original,Local,Manual,Used,"Allahabad Road, Liaquatpur"
Suzuki,Bolan,2020,14000,1780000,Petrol,Lahore,Original,Local,Manual,Used,"Cantt, Sialkot"
Honda,City IDSI,2009,179000,1665000,Petrol,Sindh,Original,Local,Manual,Used,"Mandi Yazman, Bahawalpur"
Hyundai,Santro,2004,140000,1200000,Petrol,Multan,Original,Local,Manual,Used,"Others, Toba Tek singh"
Hyundai,Santro,2006,12345,970000,Petrol,Lahore,Original,Local,Manual,Used,"Main Boulevard Gulberg, Lahore"
Toyota,Passo,2020,51000,3880000,Petrol,Islamabad,Original,Imported,Automatic,Used,"Gulraiz Housing Scheme, Rawalpindi"
Daihatsu,Cuore,2005,80000,800000,Petrol,Lahore,Original,Local,Manual,Used,"DHA Phase 1, Lahore"
Daihatsu,Cuore,2003,45000,550000,Petrol,Karachi,Original,Local,Manual,Used,"Ancholi, Karachi"
Daihatsu,Mira,2017,66000,2680000,Petrol,Sindh,Original,Imported,Automatic,Used,"Kohinoor Chowk, Hyderabad"
Suzuki,Bolan,2011,80000,795000,Petrol,Lahore,Original,Local,Manual,Used,"Daroghewala, Lahore"
Toyota,Corolla GLI,2012,85000,2150000,Petrol,Lahore,Original,Imported,Manual,Used,"Shahdara, Lahore"
Daihatsu,Cuore,2011,103000,945000,Petrol,Karachi,Original,Local,Manual,Used,"Defence View Society, Karachi"
Toyota,Corolla GLI,2015,95500,3100000,Petrol,Lahore,Original,Imported,Manual,Used,"Others, Sukkur"
Suzuki,Alto,2007,270000,1030000,Petrol,Lahore,Original,Local,Manual,Used,"Gulberg 3, Lahore"
Suzuki,Swift,2019,93346,2500000,Petrol,Lahore,Original,Local,Manual,Used,"Paragon City, Lahore"
Hyundai,Santro,2004,100000,780000,Petrol,Lahore,Original,Local,Manual,Used,"Pakpattan Road, Depalpur"
Suzuki,Wagon R,2021,50000,2850000,Petrol,Punjab,Original,Local,Manual,Used,"Sargodha Road, Mandi Bahauddin"
Hyundai,Santro,2002,148000,1050000,Petrol,Lahore,Original,Imported,Manual,Used,"New Depalpur City, Depalpur"
Toyota,Corolla XLI,2012,81000,2480000,Petrol,Lahore,Original,Local,Manual,Used,"Audit & Accounts Phase 1, Lahore"
Suzuki,Wagon R,2017,104000,1930000,Petrol,Lahore,Original,Local,Manual,Used,"Shahabpura, Sialkot"
Suzuki,Alto,2003,120000,525000,Petrol,Karachi,Original,Local,Manual,Used,"Jamshed Road, Karachi"
Honda,Civic Prosmetic,2011,150000,2050000,Petrol,Karachi,Original,Local,Automatic,Used,"Jinnah Avenue, Karachi"
Toyota,Yaris,2021,13000,4100000,Petrol,Lahore,Original,Local,Manual,Used,"Military Accounts Housing Society, Lahore"
Toyota,Altis Grande,2017,75214,4649000,Petrol,Lahore,Original,Local,Automatic,Used,"Township, Lahore"
KIA,Classic,2002,12345,425000,Petrol,Multan,Original,Local,Manual,Used,"Sher Shah Colony, Lahore"
KIA,Sportage,2004,100000,1400000,Petrol,Karachi,Original,Local,Automatic,Used,"Northern Bypass, Multan"
Honda,City Aspire,2021,6400,4900000,Petrol,Karachi,Original,Local,Automatic,Used,"Pechs I, Karachi"
Daihatsu,Mira,2018,80000,3125000,Petrol,Karachi,Original,Imported,Automatic,Used,"Others, Karachi"
Daihatsu,Mira,2017,66000,2900000,Petrol,Karachi,Original,Imported,Automatic,Used,"North Nazimabad, Karachi"
Honda,City IDSI,2007,125343,1870000,Petrol,Faisalabad,Original,Local,Automatic,Used,"Wapda Town Phase 1, Multan"
Suzuki,Swift,2012,115000,1850000,Petrol,Lahore,Original,Imported,Manual,Used,"Topi, Swabi"
Toyota,Altis Grande,2015,159000,4150000,Petrol,Islamabad,Original,Local,Automatic,Used,"Sitara Valley Phase 2, Faisalabad"
Suzuki,Alto,2009,100000,1490000,Petrol,Lahore,Original,Imported,Automatic,Used,"Ittehad Colony, Lahore"
Changan,Alsvin,2021,23495,4100000,Petrol,Lahore,Original,Imported,Automatic,Used,"Wapda Town Phase 1, Lahore"
Daihatsu,Move,2014,83000,2165000,Petrol,Lahore,Original,Imported,Automatic,Used,"Ferozepur Road, Lahore"
Changan,Karvaan,2021,65000,2390000,Petrol,Punjab,Original,Imported,Manual,Used,"I-8 Markaz, Islamabad"
Toyota,Corolla XLI,2014,230000,2450000,Petrol,Multan,Original,Local,Manual,Used,"Gojra Bypass, Gojra"
Hyundai,Santro,2003,120000,720000,Petrol,Lahore,Original,Local,Manual,Used,"Bhatta Chowk, Lahore"
Honda,City IVTEC,2019,80000,4000000,Petrol,Lahore,Original,Imported,Automatic,Used,"Punjab Govt Servants Housing Foundation, Faisalabad"
Hyundai,Santro,2007,110000,950000,Petrol,Faisalabad,Original,Local,Manual,Used,"Satellite Town, Sargodha"
KIA,Spectra,2001,90000,700000,Petrol,Lahore,Original,Imported,Manual,Used,"Chichawatni Burewala Road, Chichawatni"
Suzuki,Mehran VXR,2018,1234,1130000,Petrol,Multan,Original,Local,Manual,Used,"Chungi No 8, Multan"
Toyota,Corrolla Altis,2017,10699,3850000,Petrol,Islamabad,Original,Local,Automatic,Used,"Rawat, Islamabad"
Honda,City IVTEC,2019,44000,3750000,Petrol,Karachi,Original,Local,Automatic,Used,"Gulshan-e-Iqbal, Karachi"
Toyota,Corrolla Altis,2004,178000,1690000,Petrol,Lahore,Original,Local,Manual,Used,"G-11, Islamabad"
Toyota,Yaris,2020,49000,4200000,Petrol,Punjab,Original,Local,Automatic,Used,"Pakpattan Road, Arifwala"
Suzuki,Alto,2010,159000,850000,Petrol,Karachi,Original,Local,Manual,Used,"Others, Mian Chunnu"
Toyota,Corolla XLI,2010,236500,2370000,Petrol,Islamabad,Original,Local,Manual,Used,"CBR Town Phase 1, Islamabad"
Toyota,Corolla XLI,2009,175000,2125000,Petrol,Lahore,Original,Local,Manual,Used,"Garhi Shahu, Lahore"
Suzuki,Mehran VXR,2018,54000,1230000,Petrol,Lahore,Original,Local,Manual,Used,"I-8, Islamabad"
Suzuki,Bolan,2007,65000,650000,Petrol,Lahore,Original,Imported,Manual,Used,"Shahpur, Islamabad"
Suzuki,Mehran VXR,2006,55000,630000,CNG,Peshawar,Original,Local,Manual,Used,"Sikandarpur, Haripur"
Daihatsu,Cuore,2004,184000,540000,Petrol,Karachi,Original,Local,Manual,Used,"Malir, Karachi"
Daihatsu,Hijet,2016,87000,2000000,Petrol,Karachi,Original,Imported,Automatic,Used,"DHA Phase 8, Karachi"
Suzuki,Alto,2011,94000,1025000,Petrol,Karachi,Original,Local,Manual,Used,"Guru Mandir Chorangi, Karachi"
Toyota,Corolla GLI,2012,105000,2500000,Petrol,Karachi,Original,Local,Manual,Used,"Gulshan-e-Iqbal Town, Karachi"
Honda,City IVTEC,2013,77000,2450000,Petrol,Karachi,Original,Local,Manual,Used,"Ahsan Colony, Multan"
Suzuki,Ravi,2017,160000,1400000,Petrol,Multan,Original,Local,Manual,Used,"Nusrat Road, Multan"
Honda,Civic Prosmetic,2015,57887,4075000,Petrol,Sindh,Original,Local,Automatic,Used,"Model Town, Lahore"
Suzuki,Bolan,2015,30000,744000,Petrol,Punjab,Original,Local,Manual,Used,"Spinny Road, Quetta"
Suzuki,Swift,2011,97500,1540000,Petrol,Sindh,Original,Local,Manual,Used,"Latifabad Unit 9, Hyderabad"
Chevrolet,Exclusive,2004,12500,665000,Petrol,Lahore,Original,Local,Manual,Used,"Cavalry Ground, Lahore"
Suzuki,Bolan,2009,1000,750000,Petrol,Islamabad,Original,Imported,Manual,Used,"I-10, Islamabad"
Toyota,Yaris,2020,56000,3850000,Petrol,Karachi,Original,Local,Automatic,Used,"Jamshed Road, Karachi"
Daihatsu,Mira,2006,167000,1540000,Petrol,Lahore,Original,Imported,Automatic,Used,"Allama Iqbal Road, Mirpur"
Suzuki,Every,2008,75000,1550000,Petrol,Islamabad,Original,Local,Manual,Used,"Kot Pindi Dass Road, Sheikhüpura"
Toyota,Corolla GLI,2019,85000,4023000,Petrol,Sindh,Original,Local,Manual,Used,"Cantt, Okara"
Toyota,Corolla GLI,2016,90000,3450000,Petrol,Karachi,Original,Local,Automatic,Used,"Gulshan-e-Iqbal Town, Karachi"
Daihatsu,Cuore,2005,10000,1070000,Petrol,Islamabad,Original,Imported,Automatic,Used,"I-10, Islamabad"
Suzuki,Wagon R,2022,11344,3215000,Petrol,Lahore,Original,Local,Automatic,Used,"Cantt, Lahore"
Honda,City IDSI,2004,243000,1550000,Petrol,Lahore,Original,Imported,Manual,Used,"Wah Cantt, Wah"
Hyundai,Santro,2001,100000,530000,Petrol,Karachi,Original,Imported,Manual,Used,"Jacobabad Air Port, Jacobabad"
Honda,Civic Oriel,2001,150000,1300000,Petrol,Lahore,Original,Imported,Automatic,Used,"Cantt, Sialkot"
KIA,Picanto,2021,43000,2530000,Petrol,Punjab,Original,Local,Manual,Used,"GT Road, Kamoke"
Honda,Civic Prosmetic,2005,145000,1680000,Petrol,Karachi,Original,Local,Automatic,Used,"Baloch Colony, Karachi"
Suzuki,Swift,2017,73800,2380000,Petrol,Karachi,Original,Local,Automatic,Used,"Manzoor Colony, Karachi"
Suzuki,Alto,2022,27800,2450000,Petrol,Punjab,Original,Local,Manual,Used,"Khanewal Road, Multan"
KIA,Sportage,2005,2000,1420000,Petrol,Karachi,Original,Local,Manual,Used,"Gulistan-e-Jauhar Block 17, Karachi"
Suzuki,Alto,2019,67000,2050000,Petrol,Lahore,Original,Local,Manual,Used,"Adina, Swabi"
Toyota,Corolla GLI,2014,224500,2600000,Petrol,Lahore,Original,Local,Manual,Used,"Cantt, Peshawar"
Toyota,Yaris,2022,13400,4650000,Petrol,Lahore,Original,Local,Automatic,Used,"DHA Phase 1, Lahore"
Suzuki,Mehran VXR,2009,76086,870000,Petrol,Rawalpindi,Original,Local,Manual,Used,"J and K Zone 5, Islamabad"
Honda,City IVTEC,2015,127118,2750000,Petrol,Lahore,Original,Local,Automatic,Used,"Military Accounts Housing Society, Lahore"
Mitsubishi,Minica,2016,98000,1290000,Petrol,Lahore,Original,Imported,Automatic,Used,"GT Road, Gujrat"
Toyota,Corrolla Altis,2012,96000,3000000,Petrol,Lahore,Original,Local,Automatic,Used,"Asharafabad, Lahore"
Hyundai,Santro,2002,100000,800000,Petrol,Lahore,Original,Imported,Manual,Used,"D Ground, Faisalabad"
Honda,City IVTEC,2021,14500,4550000,Petrol,Karachi,Original,Imported,Automatic,Used,"Gulistan-e-Jauhar, Karachi"
Toyota,Altis Grande,2015,92700,4180000,Petrol,Islamabad,Original,Local,Automatic,Used,"Bahria Town - Sector E, Lahore"
Toyota,Yaris,2021,40000,4600000,Petrol,Karachi,Original,Local,Automatic,Used,"DHA Phase 3, Lahore"
Toyota,Passo,2016,75000,3050000,Petrol,Lahore,Original,Imported,Automatic,Used,"Johar Town, Lahore"
Suzuki,Wagon R,2018,66000,2100000,Petrol,Lahore,Original,Imported,Manual,Used,"Others, Gujranwala"
Honda,City Vario,2003,200000,1090000,Petrol,Sindh,Original,Imported,Automatic,Used,"Band Road, Bahawalpur"
Suzuki,Swift,2017,50000,1850000,Petrol,Peshawar,Original,Local,Manual,Used,"GT Road, Peshawar"
Honda,City IVTEC,2021,17300,4200000,Petrol,Lahore,Original,Local,Manual,Used,"Cantt, Lahore"
Suzuki,Bolan,2013,75000,745000,Petrol,Sindh,Original,Local,Manual,Used,"Daulat Gate, Multan"
Daihatsu,Hijet,2013,100000,1575000,Petrol,Karachi,Original,Imported,Automatic,Used,"Gulshan-e-Iqbal, Karachi"
Honda,Civic Prosmetic,2005,75000,1250000,Petrol,Peshawar,Original,Imported,Manual,Used,"Kamra, Attock"
